Symbol,Name,Cap
BTC,Bitcoin,"$973,689,293,733"
ETH,Ethereum,"$460,924,511,069"
ADA,Cardano,"$92,537,330,030"
BNB,Binance Coin,"$83,911,451,489"
USDT,Tether,"$66,803,154,277"
XRP,XRP,"$61,690,212,288"
SOL,Solana,"$41,366,578,071"
DOGE,Dogecoin,"$41,170,171,137"
DOT,Polkadot,"$33,558,680,473"
USDC,USD Coin,"$27,785,775,842"
UNI,Uniswap,"$18,205,390,434"
LTC,Litecoin,"$15,019,084,836"
LINK,Chainlink,"$14,932,282,765"
BCH,Bitcoin Cash,"$14,021,632,232"
LUNA,Terra,"$13,778,972,740"
ICP,Internet Computer,"$13,302,994,983"
BUSD,Binance USD,"$12,601,863,748"
FIL,Filecoin,"$11,640,330,620"
MATIC,Polygon,"$11,011,953,472"
WBTC,Wrapped Bitcoin,"$10,496,298,639"
AVAX,Avalanche,"$10,355,384,709"
VET,VeChain,"$9,682,343,807"
ETC,Ethereum Classic,"$9,347,165,331"
XLM,Stellar,"$9,293,169,317"
THETA,THETA,"$7,976,649,308"
TRX,TRON,"$7,435,113,394"
DAI,Dai,"$6,441,494,974"
FTT,FTX Token,"$5,940,321,161"
EOS,EOS,"$5,870,734,600"
ATOM,Cosmos,"$5,811,545,239"
XMR,Monero,"$5,594,430,682"
AAVE,Aave,"$5,471,133,468"
CAKE,PancakeSwap,"$5,300,068,739"
AXS,Axie Infinity,"$5,074,016,956"
MIOTA,IOTA,"$4,952,690,648"
GRT,The Graph,"$4,751,101,715"
CRO,Crypto.com Coin,"$4,692,364,480"
XTZ,Tezos,"$4,653,025,065"
ALGO,Algorand,"$4,609,206,888"
NEO,Neo,"$4,505,976,836"
QNT,Quant,"$4,082,936,371"
KLAY,Klaytn,"$4,073,113,654"
BTCB,Bitcoin BEP2,"$4,043,232,844"
BSV,Bitcoin SV,"$3,628,746,640"
MKR,Maker,"$3,569,318,050"
EGLD,Elrond,"$3,483,178,082"
KSM,Kusama,"$3,367,146,231"
FTM,Fantom,"$3,295,266,966"
BTT,BitTorrent,"$3,216,652,725"
WAVES,Waves,"$3,124,130,907"
HBAR,Hedera Hashgraph,"$2,977,766,766"
SHIB,SHIBA INU,"$2,953,857,758"
LEO,UNUS SED LEO,"$2,851,863,348"
COMP,Compound,"$2,792,782,775"
HT,Huobi Token,"$2,778,847,141"
NEAR,NEAR Protocol,"$2,726,950,371"
DASH,Dash,"$2,678,087,185"
AMP,Amp,"$2,567,706,772"
CHZ,Chiliz,"$2,469,654,531"
REV,Revain,"$2,471,891,551"
UST,TerraUSD,"$2,442,619,373"
HNT,Helium,"$2,353,956,425"
RUNE,THORChain,"$2,346,045,758"
DCR,Decred,"$2,330,289,212"
HOT,Holo,"$2,226,101,117"
ZEC,Zcash,"$2,150,201,276"
XEM,NEM,"$2,122,970,169"
STX,Stacks,"$2,046,556,255"
TFUEL,Theta Fuel,"$2,029,021,144"
MANA,Decentraland,"$1,899,572,023"
ENJ,Enjin Coin,"$1,811,671,992"
SUSHI,SushiSwap,"$1,785,388,395"
XDC,XinFin Network,"$1,756,750,617"
AR,Arweave,"$1,702,131,422"
CELO,Celo,"$1,631,174,135"
QTUM,Qtum,"$1,546,516,352"
YFI,yearn.finance,"$1,539,812,186"
ZIL,Zilliqa,"$1,532,804,646"
CEL,Celsius,"$1,502,823,483"
FLOW,Flow,"$1,490,336,583"
SNX,Synthetix,"$1,459,611,776"